id_player,name_player,gp_calc_total,poss_calc_o,poss_calc_d,poss_calc_total,mp_calc_o,mp_calc_d,mp_calc_total,pts_calc_o,pts_calc_d,pts_o_per100_calc,pm_calc
203110,Draymond Green,81,6725,6866,13591,1307.9,1496.45,2804.35,6992,5913,103.970260223048,1079
201939,Stephen Curry,79,6517,6645,13162,1256.28333333333,1438.91666666667,2695.2,6775,5754,103.958876783796,1021
202691,Klay Thompson,80,6258,6477,12735,1242.7,1407.73333333333,2650.43333333333,6495,5651,103.787152444871,844
202695,Kawhi Leonard,72,5323,5293,10616,1231.1,1144.61666666667,2375.71666666667,5172,4490,97.1632538042457,682
201566,Russell Westbrook,80,6698,6548,13246,1322.56666666667,1423.7,2746.26666666667,6497,5842,96.999104210212,655
201142,Kevin Durant,72,6243,6148,12391,1250.91666666667,1326.61666666667,2577.53333333333,6113,5475,97.9176677879225,638
2544,LeBron James,76,6211,6058,12269,1384.83333333333,1319.8,2704.63333333333,6069,5477,97.7137336982773,592
201980,Danny Green,79,4595,4528,9123,1062.48333333333,984.916666666667,2047.4,4379,3856,95.2992383025027,523
200746,LaMarcus Aldridge,74,5013,5007,10020,1171.03333333333,1086.86666666667,2257.9,4851,4339,96.7684021543986,512
101108,Chris Paul,74,5556,5673,11229,1193.38333333333,1220.78333333333,2414.16666666667,5503,4992,99.0460763138949,511
201586,Serge Ibaka,78,6001,5935,11936,1203.31666666667,1287.83333333333,2491.15,5802,5309,96.6838860189968,493
201599,DeAndre Jordan,77,5936,6066,12002,1277.85,1312.48333333333,2590.33333333333,5812,5335,97.911051212938,477
200755,JJ Redick,75,4803,4904,9707,1031.28333333333,1058.2,2089.48333333333,4736,4278,98.6050385175932,458
203500,Steven Adams,80,4821,4712,9533,969.366666666667,1040.05,2009.41666666667,4559,4101,94.5654428541796,458
2738,Andre Iguodala,65,4152,4251,8403,823.366666666667,906.25,1729.61666666667,4129,3679,99.4460500963391,450
101106,Andrew Bogut,70,3361,3441,6802,680.016666666667,762.2,1442.21666666667,3378,2941,100.505801844689,437
2225,Tony Parker,72,4376,4378,8754,1034.38333333333,938.25,1972.63333333333,4192,3782,95.7952468007313,410
203084,Harrison Barnes,66,4810,4882,9692,982.116666666667,1059.33333333333,2041.45,4787,4380,99.5218295218295,407
1495,Tim Duncan,61,3437,3384,6821,798.683333333333,734.35,1533.03333333333,3248,2851,94.5010183299389,397
201988,Patty Mills,81,3788,3808,7596,846.15,819.783333333333,1665.93333333333,3685,3293,97.2808870116156,392
201567,Kevin Love,77,5474,5329,10803,1231.03333333333,1179.71666666667,2410.75,5270,4883,96.2732919254658,387
200768,Kyle Lowry,77,6446,6338,12784,1473.55,1363.25,2836.8,6142,5758,95.2838969903816,384
202335,Patrick Patterson,79,4548,4530,9078,1038.48333333333,977.883333333333,2016.36666666667,4384,4019,96.3940193491645,365
203521,Matthew Dellavedova,76,4258,4179,8437,947.766666666667,926,1873.76666666667,4096,3735,96.195396899953,361
202684,Tristan Thompson,81,5197,5058,10255,1164.7,1104.48333333333,2269.18333333333,4957,4597,95.3819511256494,360
2561,David West,78,3139,3140,6279,716.85,679.75,1396.6,3012,2665,95.9541255176808,347
1938,Manu Ginobili,58,2613,2646,5259,584.2,558.016666666667,1142.21666666667,2543,2215,97.3210868733257,328
2747,JR Smith,77,5411,5274,10685,1216.85,1141.95,2358.8,5204,4895,96.1744594344853,309
2594,Kyle Korver,80,5490,5643,11133,1159.38333333333,1218.71666666667,2378.1,5142,4862,93.6612021857924,280
2564,Boris Diaw,76,3147,3175,6322,712.883333333333,675.1,1387.98333333333,3029,2752,96.250397203686,277
203460,Andre Roberson,70,3676,3648,7324,738.466666666667,804.583333333333,1543.05,3499,3225,95.1849836779108,274
202709,Cory Joseph,80,4652,4631,9283,1062.75,978.9,2041.65,4366,4100,93.8521066208083,266
202340,Avery Bradley,76,6057,6078,12135,1199.11666666667,1322.86666666667,2521.98333333333,5684,5430,93.841835892356,254
203471,Dennis Schroder,80,3671,3762,7433,779.35,840.166666666667,1619.51666666667,3440,3192,93.7074366657587,248
101107,Marvin Williams,81,5269,5283,10552,1184.81666666667,1140.01666666667,2324.83333333333,5072,4826,96.2611501233631,246
202738,Isaiah Thomas,82,6412,6372,12784,1259.08333333333,1383.76666666667,2642.85,5985,5740,93.3406113537118,245
201601,Luc Mbah a Moute,73,2836,2961,5797,620.283333333333,651.883333333333,1272.16666666667,2776,2537,97.8843441466855,239
202689,Kemba Walker,81,6538,6560,13098,1465.63333333333,1413.71666666667,2879.35,6226,5997,95.2278984398899,229
201609,Goran Dragic,72,5402,5386,10788,1205.91666666667,1148.91666666667,2354.83333333333,5017,4798,92.8730099962977,219
203079,Dion Waiters,78,5244,5109,10353,1069.31666666667,1082.4,2151.71666666667,4926,4708,93.9359267734554,218
201587,Nicolas Batum,70,5524,5582,11106,1233.33333333333,1204.71666666667,2438.05,5305,5090,96.0354815351195,215
203082,Terrence Ross,73,3918,3892,7810,900.766666666667,843.45,1744.21666666667,3679,3464,93.8999489535477,215
203105,Festus Ezeli,46,1849,1833,3682,361.166666666667,406.616666666667,767.783333333333,1800,1590,97.3499188750676,210
202681,Kyrie Irving,53,3788,3686,7474,853.583333333333,801.65,1655.23333333333,3642,3433,96.1457233368532,209
202697,Iman Shumpert,54,2983,2960,5943,676.95,637.65,1314.6,2848,2639,95.4743546765002,209
200794,Paul Millsap,81,6108,6290,12398,1290.45,1345.06666666667,2635.51666666667,5696,5488,93.2547478716437,208
2733,Shaun Livingston,78,3534,3608,7142,730.466666666667,784.966666666667,1515.43333333333,3405,3203,96.3497453310696,202
101161,Amir Johnson,79,4257,4260,8517,838.933333333334,943.75,1782.68333333333,3956,3754,92.9292929292929,202
203937,Kyle Anderson,78,2737,2785,5522,643.25,593.983333333333,1237.23333333333,2632,2431,96.1636828644501,201
203109,Jae Crowder,73,5551,5570,11121,1086.55,1205.51666666667,2292.06666666667,5132,4935,92.4518104845974,197
201143,Al Horford,82,5977,6229,12206,1258.46666666667,1354.73333333333,2613.2,5567,5373,93.1403714237912,194
202331,Paul George,81,6614,6652,13266,1391.66666666667,1423.98333333333,2815.65,6055,5874,91.5482310250983,181
202730,Lavoy Allen,79,3677,3649,7326,789.633333333333,804.733333333333,1594.36666666667,3351,3170,91.1340766929562,181
203469,Cody Zeller,73,4032,4007,8039,880.333333333334,882.416666666667,1762.75,3889,3715,96.453373015873,174
201942,DeMar DeRozan,78,6370,6282,12652,1464.41666666667,1337.86666666667,2802.28333333333,6005,5833,94.2700156985871,172
203083,Andre Drummond,81,6306,5998,12304,1331.21666666667,1329.65,2660.86666666667,5656,5485,89.6923564858865,171
203484,Kentavious Caldwell-Pope,76,6640,6341,12981,1392.15,1393.98333333333,2786.13333333333,5979,5811,90.0451807228916,168
201976,Patrick Beverley,71,4813,4779,9592,973.483333333333,1057.48333333333,2030.96666666667,4536,4372,94.2447537918138,164
201933,Blake Griffin,35,2716,2726,5442,579.333333333333,585.983333333333,1165.31666666667,2573,2410,94.7349042709867,163
203497,Rudy Gobert,61,4236,4179,8415,1000.48333333333,924.133333333333,1924.61666666667,3868,3705,91.3125590179415,163
203096,Jared Sullinger,81,4590,4542,9132,907.966666666667,1000.55,1908.51666666667,4207,4048,91.6557734204793,159
1717,Dirk Nowitzki,75,5267,5346,10613,1217.38333333333,1142.43333333333,2359.81666666667,5045,4888,95.7850768938675,157
202687,Bismack Biyombo,82,4080,4067,8147,929.75,879.183333333333,1808.93333333333,3747,3594,91.8382352941177,153
202704,Reggie Jackson,79,5732,5466,11198,1207.9,1202.76666666667,2410.66666666667,5232,5079,91.2770411723657,153
203087,Jeremy Lamb,66,2801,2818,5619,621.05,604.666666666667,1225.71666666667,2549,2399,91.0032131381649,150
203468,CJ McCollum,80,6519,6419,12938,1408.4,1360.55,2768.95,6079,5933,93.2504985427213,146
202683,Enes Kanter,82,4154,4030,8184,864.6,853.216666666667,1717.81666666667,3881,3737,93.4280211844006,144
201584,Courtney Lee,79,5184,5252,10436,1195.01666666667,1126.86666666667,2321.88333333333,4933,4792,95.1581790123457,141
202694,Marcus Morris,80,6670,6425,13095,1431.41666666667,1411.58333333333,2843,6061,5921,90.8695652173913,140
203118,Mike Scott,75,2630,2684,5314,554.883333333333,593.033333333333,1147.91666666667,2401,2268,91.2927756653992,133
203482,Kelly Olynyk,69,3352,3366,6718,676.133333333333,713.4,1389.53333333333,3031,2900,90.4236276849642,131
101133,Ian Mahinmi,71,4178,4208,8386,886.95,918.55,1805.5,3824,3694,91.5270464337003,130
1626159,Justise Winslow,78,5041,5061,10102,1127.9,1101.9,2229.8,4612,4483,91.4897837730609,129
203503,Tony Snell,64,3051,3081,6132,640.816666666667,655.966666666667,1296.78333333333,2731,2604,89.5116355293346,127
201168,Tiago Splitter,36,1340,1355,2695,285.35,295.066666666667,580.416666666667,1246,1122,92.9850746268657,124
203935,Marcus Smart,61,4117,4061,8178,805.216666666667,875.033333333333,1680.25,3717,3596,90.284187515181,121
101145,Monta Ellis,81,6413,6474,12887,1347.91666666667,1382.61666666667,2730.53333333333,5829,5713,90.8934975830345,116
201935,James Harden,82,7462,7411,14873,1502.43333333333,1620.7,3123.13333333333,6988,6872,93.6478155990351,116
202685,Jonas Valanciunas,60,3509,3422,6931,817.933333333333,728.9,1546.83333333333,3349,3238,95.4402963807352,111
202391,Jeremy Lin,78,4682,4730,9412,1043.65,1005.96666666667,2049.61666666667,4328,4218,92.439128577531,110
201588,George Hill,74,5768,5825,11593,1247.65,1260.66666666667,2508.31666666667,5268,5159,91.3314840499307,109
